station_name,station_line,count,actual_average,predicted_average,mae,mape,signed_error_percent
茗荷谷,4号線丸ノ内線,18,92777777.77777778,80770104.0475522,17062377.742030643,16.587308089980738,-6.793354985838448
芦花公園,京王線,18,66000000.0,54973056.841206916,12216297.045599362,19.14739462285692,-14.685357934173428
新宿御苑前,4号線丸ノ内線,18,96222222.22222222,76685276.06995374,22676118.936591398,19.954609976975348,-15.367977237351518
大泉学園,池袋線,18,38027777.777777776,37168696.92267498,6391314.373570106,20.10161042815321,5.5462849114118695
町屋駅前,荒川線,18,48722222.222222224,41016861.03258842,9123193.336073725,21.819818656148744,-8.273506287634483
矢口渡,東急多摩川線,18,44500000.0,39545467.50649646,8604793.095821964,22.02438547427236,-1.697907283901655
十条,赤羽線,17,112117647.05882353,98503630.92011115,14539341.101861192,12.685984489729853,-11.844779977776383
蓮根,6号線三田線,17,37511764.705882356,34354759.74056205,5210599.07878772,12.781625705804712,-5.512245827377282
中野富士見町,4号線丸ノ内線分岐線,17,74470588.23529412,61274541.875877604,13361022.690781703,16.85477529185969,-16.162056212229874
曙橋,10号線新宿線,17,77470588.23529412,67814245.44981442,13838833.923943976,17.00281984139603,-6.520031071623222
新富町,8号線有楽町線,17,71176470.58823529,61150372.190108135,15034185.070008678,17.145493920128835,-11.164456630385903
落合,5号線東西線,17,65352941.176470585,52795228.48751134,12976147.716367248,18.43807909251035,-15.742654544087332
秋葉原,東北線,16,89125000.0,80236830.15650739,12481293.018314075,12.200970630369152,-5.742029980142822
浮間舟渡,東北線,16,45125000.0,40975206.10966958,6588192.181641247,14.880550766258144,-8.929565948817068
桜台,池袋線,16,23612500.0,20832815.62942899,3768142.7289495035,16.185339016659324,-7.746407264283776
志村三丁目,6号線三田線,16,46375000.0,41030234.860440634,8057486.580150733,19.905747348054852,-5.8742226949662495
馬喰横山,10号線新宿線,16,99000000.0,77698287.48499125,21986607.99628542,20.41407862400778,-19.044287661454426
自由が丘,東横線,15,84933333.33333333,76895090.43158242,11638167.826017303,11.581879235427133,-6.410042874702634
四谷三丁目,4号線丸ノ内線,15,95066666.66666667,85755415.75030544,13580931.293955334,12.816741201479944,-6.62390321990167
梅島,伊勢崎線,15,40533333.333333336,36168634.659364246,6351156.942494625,13.76949705199408,-7.402954886650276
尾山台,大井町線,15,86533333.33333333,77434925.55977644,14262865.169795431,15.845362441273306,-5.793829864672417
初台,京王線,15,72133333.33333333,60869671.68237932,14499033.393924206,15.995138664875203,-7.4266028787732585
中板橋,東上本線,15,26586666.666666668,22025034.636883795,4633522.535346812,16.570807789115104,-16.168457542533705
神泉,井の頭線,15,78200000.0,68122289.61209615,14033970.552332612,16.955058871180572,-10.966142050427637
板橋,赤羽線,15,62426666.666666664,50407738.78146165,12157445.960923148,17.172920283282306,-16.61794053457326
牛込柳町,12号線大江戸線,15,90466666.66666667,78021271.12660165,15753294.114525104,18.154519735127344,-13.93420609528655
飯田橋,5号線東西線,15,94200000.0,76522276.4002265,17677723.59977351,18.245854247897146,-18.245854247897146
表参道,9号線千代田線,15,107533333.33333333,89051031.23781084,22264424.515701506,18.38260335780874,-13.109157201065765
白金台,6号線三田線,15,159800000.0,134399385.80333236,31001426.940081503,18.63668691982959,-9.650526037331973
千石,6号線三田線,15,98333333.33333333,80104373.22588292,18709830.57742866,19.125832420369214,-16.454329809379026
小竹向原,西武有楽町線,15,55333333.333333336,46036446.44675653,11999942.781215532,19.866056879502697,-11.127143831815829
護国寺,8号線有楽町線,15,81600000.0,67442322.40544318,18000476.987368766,20.021839497562173,-14.836090983383489
三田,6号線三田線,15,82066666.66666667,71029546.78297637,14734512.682187477,20.473982302642703,-3.932525848181678
浜町,10号線新宿線,15,85133333.33333333,65809457.02753738,19323876.305795953,21.06776931801603,-21.06776931801603
目白,山手線,15,111133333.33333333,79351489.9080824,33391719.101119217,24.077043318476356,-22.28829256751162
本蓮沼,6号線三田線,15,43900000.0,39935762.56063823,7974784.587267581,28.650452483937354,4.546225017965974
地下鉄成増,8号線有楽町線,14,48692857.14285714,43611971.11464327,6984493.801403304,13.366546631503509,-8.532232465497263
下赤塚,東上本線,14,42428571.428571425,36861336.90532235,6032863.119535184,13.82526116929398,-11.72631784320366
代々木公園,9号線千代田線,14,136857142.85714287,111540605.07341222,29710520.1916746,16.491349346986233,-12.858305131616808
